forget,retain,seed,epoch,step,valid/accuracy,valid/equal_opportunity,valid/loss,valid/spd
0,0.9,42,0,0,0.87134552,0.37389785,0.28307012,0.22845490
0.4,0.9,42,0,0,0.86864305,0.35173196,0.28752169,0.21125750
0.8,0.9,42,0,0,0.86389321,0.32732779,0.29303935,0.19299549
1.2,0.9,42,0,0,0.85848826,0.30652687,0.29985896,0.17833668
1.6,0.9,42,0,0,0.85390222,0.28659952,0.30827457,0.16321382
2,0.9,42,0,0,0.84685940,0.26093960,0.31741127,0.14743571
2.4,0.9,42,0,0,0.84030789,0.23391481,0.32859427,0.12928259
2.8,0.9,42,0,0,0.83080828,0.20317748,0.34118196,0.11011939
3.2,0.9,42,0,0,0.82556713,0.18865508,0.35521567,0.10089262
3.6,0.9,42,0,0,0.81942511,0.17178506,0.37154779,0.09158401
4,0.9,42,0,0,0.81213659,0.15153007,0.38902232,0.08041915
4.4,0.9,42,0,0,0.80222750,0.12436873,0.40900698,0.06524166
4.8,0.9,42,0,0,0.79084432,0.09120190,0.43051863,0.04807144
5.2,0.9,42,0,0,0.78085333,0.05896324,0.45447645,0.03226600
5.6,0.9,42,0,0,0.77569407,0.04296673,0.47978780,0.02363988
6,0.9,42,0,0,0.77192694,0.03073732,0.50721174,0.01703382
